"Unit Technologies","Limitation
s (see 
footnotes
)","Operator 
Skill Level 
Required","Raw Water Quality Range and 
Considerations"
"1. Ion exchange","(a)","Intermediat
e","All ground waters; competing 
anion concentrations may affect 
regeneration frequency"
"2. Point of use, ion exchange","(b)","Basic","All ground waters; competing 
anion concentrations may affect 
regeneration frequency"
"3. Reverse osmosis","(c)","Advanced","Surface waters usually require pre-
filtration"
"4. Point of use, reverse 
osmosis","(b)","Basic","Surface waters usually require pre-
filtration"
"5. Lime softening","(d)","Advanced","All waters"
