"Gross Beta particle activity","Decay of natural and man-made deposits"
"Strontium-90","Decay of natural and man-made deposits"
"Tritium","Decay of natural and man-made deposits"
"Gross Alpha particle activity","Erosion of natural deposits"
"Combined Radium 226/228","Erosion of natural deposits"
"Total Radium (for nontransient 
noncommunity water systems)","Erosion of natural deposits"
"Uranium","Erosion of natural deposits"
