"Benzene","Discharge from plastics, dyes and nylon factories; 
leaching from gas storage tanks and landfills"
"Carbon tetrachloride","Discharge from chemical plants and other industrial 
activities"
"1,2-Dichlorobenzene","Discharge from industrial chemical factories"
"1,4-Dichlorobenzene","Discharge from industrial chemical factories"
