"(v) 2.0","48","46","42","38","32","26","20","12","7.8","4.9","3.1"
"(vi) 2.5","60","58","52","48","40","33","25","16","9.8","6.2","3.9"
"(vii) 3.0","72","69","63","57","47","39","30","19","12","7.4","4.7"
