"Total trihalomethanes 
(TTHM)","Byproduct of drinking water disinfection"
"Haloacetic acids (five) 
(HAA5)","Byproduct of drinking water disinfection"
"Bromate","Byproduct of drinking water disinfection"
"Chloramines","Drinking water disinfectant added for treatment"
"Chlorine","Drinking water disinfectant added for treatment"
"Chlorite","Byproduct of drinking water disinfection"
"Chlorine dioxide","Drinking water disinfectant added for treatment"
"Control of disinfection 
byproduct precursors 
(Total Organic Carbon)","Various natural and manmade sources"
