"Compliance Technologies for System Size Categories 
 Based On Population Served  
 
25-500                       501-3,300 
3,301 - 10,000","","",""
"Unit Technologies  
Contaminant  
(Numbers Correspond to Table 64447.3-B)","","",""
"Combined 
radium-226 and 
radium-228","","1, 2 ,3, 4, 5, 6, 7, 8, 9   1, 2 ,3, 4, 5, 6, 7, 8, 9   1, 2 ,3, 4, 5, 6, 7, 8, 9",""
"Gross alpha 
3, 4  
particle activity","","3, 4","3, 4"
"Beta particle 
1, 2, 3, 4  
activity and 
photon 
radioactivity","","1, 2, 3, 4","1, 2, 3, 4"
"Uranium  
1, 2, 4, 10, 11","","1, 2, 3, 4, 5, 10, 11","1, 2, 3, 4, 5, 10, 11"
