"Aluminum","Erosion of natural deposits; residue from 
some surface water treatment processes"
"Antimony","Discharge from petroleum refineries; fire 
retardants; ceramics; electronics; solder"
"Arsenic","Erosion of natural deposits; runoff from 
orchards;  glass and electronics production 
wastes"
"Asbestos","Internal corrosion of asbestos cement 
water mains; erosion of natural deposits"
"Barium","Discharges of oil drilling wastes and from 
metal  refineries; erosion of natural 
deposits"
"Beryllium","Discharge from metal refineries, coal-
burning factories, and electrical, aerospace, 
and defense industries"
