,0,1,2
0,Type of monitoring,Ground water,Surface water with or without groundwater
1,Standard monitoring,"1 sample at each entry point every 3 years, as a minimum","1 sample at each entry point every year, as a minimum"
2,"Reduced monitoring, after 3 consecutive rounds of standard monitoring in compliance with maximum permissible levels.",1 sample at each entry point every 9 years,1 sample at each entry point every 9 years
