,0,1
0,Table 64570-B,Table 64570-B
1,Installation Standards for Water Mains,Installation Standards for Water Mains
2,,
3,Type of Installation,Applicable Standard
4,,
5,Steel Pipe-Design and Installation,M-11 (2004)
6,Ductile-Iron Water Mains and Their Appurtenances		,C600-05
7,Underground Installation of PVC Pressure Pipe and Fittings,C605-05
8,Concrete Pressure Pipe,M9(1995)
