,0,1,2
0,Radionuclide,MCL,DLR
1,Radium-226 ,"
5 pCi/L (combined radium-226 & -228)",1 pCi/L
2,Radium–228,"
5 pCi/L (combined radium-226 & -228)",1 pCi/L
3,Gross Alpha particle activity (excluding radon and uranium),15 pCi/L,3 pCi/L
4,Uranium,20 pCi/L,1 pCi/L
