,0,1
0,Chemical,"Maximum
Contaminant
Level, mg/L"
1,(a) Volatile Organic Chemicals (VOCs),
2,Benzene. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.001
3,Carbon Tetrachloride . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.0005
4,"1,2 Dichlorobenzene. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ",0.6
5,"1,4 Dichlorobenzene. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ",0.005
6,"1,1-Dichloroethane. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  ",0.005
7,"1,2-Dichloroethane . . . . . . . . . . . . . . . . . . . . . . . . . . . . .. . . . . . . . . . . . . . .",0.0005
8,"1,1-Dichloroethylene . . . . . .. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ",0.006
9,"cis-1,2-Dichloroethylene . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",0.006
10,"trans-1,2-Dichloroethylene . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ",0.01
11,Dichloromethane. . . .. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.005
12,"1,2-Dichloropropane. . .. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ",0.005
13,"1,3-Dichloropropene . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ",0.0005
14,Ethylbenzene . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.3
15,Methyl-tert-butyl ether . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.013
16,Monochlorobenzene. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.07
17,Styrene. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.1
18,"1,1,2,2-Tetrachloroethane. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ",0.001
19,Tetrachloroethylene. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.005
20,Toluene. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  . .  ,0.15
21,"1,2,4-Trichlorobenzene . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ",0.005
22,"1,1,1-Trichloroethane. .. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ",0.200
23,"1,1,2-Trichloroethane. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ",0.005
24,Trichloroethylene . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.005
25,Trichlorofluoromethane. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.15
26,"1,1,2-Trichloro-1,2,2-Trifluoroethane. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ",1.2
27,Vinyl Chloride. . . . . . . . . . . . . . . . . . . .. . . . . . . . . . . . . . . . . . . . . . . . . . . . .  ,0.0005
28,Xylenes. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,1.750*
