,0,1
0,Contaminant,Health Effects Language
1,"Giardia lamblia
Viruses
Heterotrophic plate   count bacteria
Legionella
Cryptosporidium","Inadequately treated water may contain disease-causing organisms.  These organisms include bacteria, viruses, and parasites that can cause symptoms such as nausea, cramps, diarrhea, and associated headaches."
