,0,1
0,Chemical,Best Available Technologies (BATs)
1,,
2,Aluminum,10
3,Antimony,"2, 7"
4,Arsenic,"1, 2, 5, 6, 7, 9, 13"
5,Asbestos,"2, 3, 8"
6,Barium,"5, 6, 7, 9"
7,Beryllium,"1, 2, 5, 6, 7"
8,Cadmium,"2, 5, 6, 7"
9,Chromium,"2, 5, 6a, 7"
10,Cyanide,"5, 7, 11"
11,Fluoride,1
12,Mercury,"2b, 4, 6b, 7b"
13,Nickel,"5, 6, 7"
14,Nitrate,"5, 7, 9"
15,Nitrite,"5, 7"
16,Perchlorate,"5,12"
17,Selenium,"1, 2c, 6, 7, 9"
18,Thallium,"1, 5"
